query,phone_number,website,score
"NAMIXIS 1 AVENUE DE L ANGEVINIERE
SAINT-HERBLAIN 44800",02 28 03 53 03,axians.com,0
"SEIMAF 1 AVENUE DE L ANGEVINIERE
SAINT-HERBLAIN 44800",01 46 30 27 27,seimaf.com,0
"CABINET BRAS 32 AVENUE DE LA LIBERATION
REZE 44400",02 40 20 08 08,bras-immobilier.fr,0
"COGEDIM GESTION & SERVICES 34 BOULEVARD GABRIEL GUIST'HAU
NANTES 44000",Erreur numéro,Erreur site,0
"HEMON CAMUS 1 PLACE GEORGE WASHINGTON
NANTES 44300",02 51 72 76 75,cabinet-hemon.com,0
"M-TECHNOLOGIE FAB-AERO RTE DE L'AEROPORT - CTRE AFFAIRES ICARE BAT H
MONTOIR-DE-BRETAGNE 44550",02 51 70 04 94,europetechnologies.com,0
"BIO3G RUE DE LA NOUE FLEURIE
LA BERNERIE-EN-RETZ 44760",02 96 67 41 41,bio3g.com,0
"LEXCAP 19 RUE RACINE
NANTES 44000",02 23 20 90 50,lexcap-avocats.com,0
"LAROCHE INDUSTRIES D'AFFAIRES ICARE BAT D
MONTOIR-DE-BRETAGNE 44550",Numéro non trouvé,laroche-group.com,0
"ETAMINE 5 RUE SANTEUIL
NANTES 44200",Aucun résultat,Aucun site,40
"OUEST GESTION IMMOBILIER SERVICES 7 AVENUE ALEXANDRE GOUPIL
ORVAULT 44700",06 12 91 14 31,ouestgestionconseil.com,0
"OUEST GESTION IMMOBILIER SERVICES 1 PLACE DU SANITAT
NANTES 44000",Aucun résultat,Aucun site,41
"DAWAN 12 RUE GAETAN RONDEAU
NANTES 44200",09 72 37 73 73,dawan.fr,0
"IPROSPECT FRANCE 36 RUE ALFRED RIOM
NANTES 44000",Aucun résultat,Aucun site,34
"COGELEC 22 - 26 MAIL PABLO PICASSO ZAC PRE GAUCHET
NANTES 44000",Aucun résultat,Aucun site,39
"CBRE AGENCY 22 RUE PABLO PICASSO
NANTES 44000",02 52 62 00 00,cbre.fr,0
"INGELIANCE TECHNOLOGIES 1 AVENUE DES LIONS
SAINT-HERBLAIN 44800",02 51 78 20 66,ingeliance.com,0
"SOCIETE NATIONALE DE GESTION 9 RUE DE LA FOSSE
NANTES 44000",Erreur numéro,Erreur site,0
"SAFERAIL 2 RUE ROBERT SCHUMAN
REZE 44408",02 51 70 27 24,saferail.fr,0
"SOCIETE DE GESTION DES AIRES D'ACCUEIL 7 RUE DU NOUVEAU BELE
CARQUEFOU 44470",Aucun résultat,Aucun site,44
"ATEXIS FRANCE 13 IMPASSE SERGE REGGIANI
SAINT-HERBLAIN 44800",09 67 16 74 25,Site non trouvé,0
